,location,total_sqft,bath,price,bhk,encoded_loc
168,Whitefield,1075.0,2,53.0,2,224
169,Kadugodi,1260.0,2,54.0,3,117
170,Yelahanka,1282.0,2,48.7,3,226
171,Kogilu,1909.0,3,88.0,3,142
172,Panathur,1359.0,2,87.0,2,180
173,other,1207.0,2,43.5,2,230
174,Kammasandra,1595.0,3,65.0,3,125
175,other,1798.0,3,89.0,3,230
176,Electronics City Phase 1,1475.0,3,78.29,3,76
177,other,1580.0,3,100.0,3,230
178,Dasarahalli,1295.0,2,65.0,2,64
179,Magadi Road,3600.0,6,141.0,6,155
180,Electronic City,589.0,1,27.0,1,74
181,other,1415.0,3,78.0,3,230
182,Sarjapur  Road,1787.0,3,98.29,3,194
183,Sarjapur  Road,1787.0,3,125.0,3,194
184,Koramangala,1475.0,2,90.0,3,144
185,other,2000.0,4,75.5,4,230
186,Sarjapur  Road,984.0,2,44.28,2,194
187,Devanahalli,2390.0,2,74.82,3,65
188,7th Phase JP Nagar,1080.0,2,72.0,2,6
189,other,1500.0,2,115.0,2,230
190,Hebbal,1900.0,3,119.0,3,92
191,Dommasandra,805.0,2,22.14,2,72
192,Budigere,1153.0,2,56.4,2,52
193,other,1148.0,2,60.0,2,230
194,other,1110.0,2,55.0,2,230
195,Electronic City,1100.0,2,42.0,2,74
196,Kalyan nagar,1290.0,2,110.0,2,122
197,other,1500.0,2,65.0,3,230
198,other,1080.0,2,39.0,2,230
199,Vijayanagar,1933.0,3,129.0,3,220
200,Ramamurthy Nagar,3500.0,5,150.0,5,188
201,other,1060.0,2,60.0,2,230
202,other,1644.0,3,84.0,3,230
203,other,1285.0,2,72.5,2,230
204,Electronic City,1200.0,3,90.0,3,74
205,Electronic City,910.0,2,40.0,2,74
206,Kothanur,1577.0,3,70.0,3,146
207,other,4050.0,3,280.0,3,230
208,OMBR Layout,2420.0,3,185.0,3,175
209,other,1060.0,2,55.0,2,230
210,7th Phase JP Nagar,1270.0,2,93.0,2,6
211,other,1280.0,2,69.0,2,230
212,Horamavu Agara,1200.0,2,95.0,4,98
213,Sarjapur  Road,1025.0,2,36.0,2,194
214,Electronic City,1108.0,2,63.0,2,74
215,other,3045.0,3,170.0,3,230
216,Vijayanagar,1500.0,3,75.5,3,220
217,Raja Rajeshwari Nagar,1295.0,2,43.9,2,184
218,Budigere,1162.0,2,59.9,2,52
219,Sarjapur  Road,1035.0,2,49.2,2,194
220,Attibele,1600.0,4,52.8,4,21
221,other,1464.0,3,46.0,3,230
222,Hennur Road,1866.0,2,61.58,3,96
223,other,700.0,1,26.0,2,230
224,Kalena Agrahara,1804.0,3,120.0,3,121
225,Sarjapur,913.0,2,32.0,2,193
226,Talaghattapura,1868.0,3,131.0,3,208
227,Kengeri Satellite Town,883.0,2,45.0,2,136
228,Kogilu,1664.0,2,73.95,3,142
229,Hegde Nagar,2026.0,3,132.0,3,94
230,Balagere,1210.0,2,80.9,2,25
231,other,4111.0,4,250.0,4,230
232,Kadugodi,1762.0,3,91.45,3,117
233,Jigani,1252.0,3,55.0,3,113
234,Gollarapalya Hosahalli,861.0,2,34.5,2,81
235,7th Phase JP Nagar,1420.0,2,100.0,3,6
236,Electronics City Phase 1,1490.0,3,78.8,3,76
237,Bisuvanahalli,1075.0,2,46.0,3,46
238,Old Madras Road,1425.0,2,94.0,3,177
239,Kalena Agrahara,1200.0,2,40.0,2,121
240,Kaggadasapura,1280.0,2,56.0,3,118
241,other,1084.0,2,50.0,2,230
242,Kanakpura Road,1017.0,2,51.25,2,127
243,Haralur Road,1027.0,2,44.0,2,90
244,Electronic City Phase II,1069.0,2,45.0,2,75
245,Hebbal,1349.0,2,98.2,2,92
246,9th Phase JP Nagar,1005.0,2,50.0,2,8
247,Jakkur,1417.0,2,75.0,2,110
248,TC Palaya,1475.0,3,98.0,3,207
249,other,950.0,2,47.0,2,230
250,other,2000.0,4,120.0,4,230
251,Sarjapur  Road,1863.0,3,104.0,4,194
252,Singasandra,1010.0,2,29.5,2,201
253,Kalena Agrahara,1425.0,2,70.0,3,121
254,Vijayanagar,1450.0,3,100.0,3,220
255,Kothanur,1847.0,3,105.0,3,146
256,AECS Layout,1100.0,2,45.0,2,9
257,Kanakpura Road,525.0,1,26.0,1,127
258,Mallasandra,1665.0,3,95.0,3,158
259,Begur,1664.0,4,65.0,4,38
260,JP Nagar,1850.0,3,150.0,3,109
261,Panathur,1438.0,2,100.0,2,180
262,other,1560.0,3,115.0,3,230
263,Yelahanka,1350.0,2,55.55,2,226
264,Kanakpura Road,1550.0,3,67.0,3,127
265,Malleshpalya,1140.0,2,46.5,2,159
266,other,850.0,2,27.0,2,230
267,Whitefield,1280.0,2,75.0,2,224
268,Munnekollal,1170.0,2,52.0,2,164
269,other,1113.0,2,51.0,2,230
270,Hennur Road,1385.0,2,83.09,2,96
271,Electronic City,1128.0,2,65.0,2,74
272,Haralur Road,1464.0,3,56.0,3,90
273,other,1200.0,2,55.0,2,230
274,Kaval Byrasandra,1200.0,2,52.0,2,133
275,Kaggalipura,1150.0,2,55.0,3,119
276,other,1645.0,3,95.0,3,230
277,Sarjapur  Road,1000.0,2,67.0,2,194
278,Haralur Road,2650.0,4,198.0,4,90
279,6th Phase JP Nagar,1192.0,2,74.0,2,5
280,Whitefield,1173.0,2,58.0,2,224
281,Uttarahalli,1020.0,2,45.0,2,216
282,Thigalarapalya,3122.0,6,230.0,4,210
283,Somasundara Palya,1600.0,3,64.0,3,202
284,other,1200.0,2,79.0,2,230
285,other,1230.0,2,48.0,2,230
286,Devarachikkanahalli,1250.0,2,40.0,2,66
287,Kalena Agrahara,1325.0,2,76.0,2,121
288,7th Phase JP Nagar,1850.0,3,150.0,3,6
289,Kanakpura Road,525.0,2,21.53,1,127
290,Basaveshwara Nagar,1200.0,2,65.0,2,36
291,Bommasandra,1260.0,3,49.36,3,48
292,other,1800.0,3,150.0,3,230
293,Ardendale,1100.0,2,43.25,2,19
294,Harlur,1508.0,2,77.0,2,91
295,other,1592.0,3,75.0,3,230
296,Akshaya Nagar,1388.0,2,57.0,2,11
297,Electronic City Phase II,630.0,1,28.35,1,75
298,other,1762.0,3,125.0,3,230
299,other,950.0,2,50.0,2,230
300,Magadi Road,1116.0,2,50.0,2,155
301,other,1308.0,2,89.04,2,230
302,other,1200.0,3,90.0,3,230
303,Bannerghatta Road,500.0,1,18.5,1,34
304,Hennur,1075.0,2,52.0,2,95
305,Bellandur,1205.0,2,66.0,2,40
306,5th Phase JP Nagar,1075.0,2,60.0,2,4
307,KR Puram,930.0,2,39.0,2,115
308,Balagere,1380.0,2,60.0,2,25
309,Hebbal,2483.0,5,212.0,4,92
310,Kodigehaali,1166.0,2,55.0,2,139
311,Bannerghatta Road,1050.0,2,65.0,2,34
312,Begur Road,1200.0,2,46.8,2,39
313,Lakshminarayana Pura,1600.0,2,108.0,3,153
314,Billekahalli,1935.0,3,110.0,3,44
315,8th Phase JP Nagar,451.0,1,29.9,1,7
316,Electronic City,1800.0,3,95.0,3,74
317,Jalahalli,1400.0,3,77.0,3,111
318,Hegde Nagar,1801.0,3,115.0,3,94
319,Mahadevpura,1451.0,2,90.0,2,156
320,Anekal,1200.0,1,36.0,2,17
321,Begur Road,1160.0,2,44.0,2,39
322,Kanakpura Road,950.0,2,40.0,2,127
323,other,1629.0,3,79.0,3,230
324,Vijayanagar,1580.0,2,134.0,3,220
325,Vijayanagar,1826.0,3,121.0,3,220
326,7th Phase JP Nagar,1245.0,2,94.0,2,6
327,Raja Rajeshwari Nagar,1145.0,2,45.79,2,184
328,Sompura,825.0,2,33.0,2,203
329,Yeshwanthpur,1693.0,3,108.0,3,229
330,Electronics City Phase 1,1113.27,2,53.0,2,76
331,other,1460.0,2,58.0,2,230
332,Doddathoguru,1050.0,2,32.0,2,70
333,Dodda Nekkundi,1260.0,2,55.0,2,67
334,Hosur Road,1656.0,2,120.0,2,104
335,Chandapura,1208.0,3,45.0,3,55
336,Whitefield,1910.0,3,161.0,3,224
337,Whitefield,3252.0,4,230.0,4,224
338,Battarahalli,1200.0,2,65.0,2,37
339,7th Phase JP Nagar,1175.0,2,82.0,2,6
340,other,1185.0,2,38.0,2,230
341,Kengeri,750.0,2,38.0,2,135
342,Kanakpura Road,1550.0,3,64.5,3,127
343,other,1760.0,3,88.0,3,230
344,Billekahalli,1125.0,2,62.0,2,44
345,Anandapura,1000.0,2,55.0,2,15
346,Bommasandra Industrial Area,1090.0,2,31.48,2,49
347,TC Palaya,1200.0,2,60.0,2,207
348,Budigere,1991.0,4,103.0,3,52
349,Ambalipura,1105.0,2,75.0,2,12
350,Hoodi,985.0,2,67.0,2,97
351,Chandapura,1533.0,5,85.0,6,55
352,Balagere,1590.0,3,79.0,3,25
353,CV Raman Nagar,1120.0,2,55.0,2,53
354,other,1069.0,2,55.0,2,230
355,Marathahalli,1933.0,3,140.0,3,161
356,Hosur Road,1194.0,2,69.0,2,104
357,Brookefield,1150.0,2,69.0,2,51
358,Yelenahalli,1240.0,2,47.12,2,228
359,Raja Rajeshwari Nagar,1419.0,2,48.1,2,184
360,other,1450.0,3,55.0,3,230
361,other,1630.0,3,68.29,3,230
362,Dasanapura,708.0,1,40.0,2,63
363,Whitefield,11890.0,4,700.0,4,224
364,Bellandur,1250.0,2,76.0,2,40
365,7th Phase JP Nagar,1400.0,2,95.0,3,6
366,Sarjapur  Road,1670.0,2,57.0,3,194
367,Ardendale,1750.0,3,100.0,3,19
368,Vittasandra,1404.0,2,71.0,2,223
369,Hoodi,1715.0,2,95.0,3,97
370,Electronic City,630.0,1,34.65,1,74
371,Harlur,1752.12,3,135.0,3,91
372,Hulimavu,1650.0,3,78.0,3,105
373,Raja Rajeshwari Nagar,1295.0,2,55.47,2,184
374,Sarjapur  Road,1346.0,2,74.03,2,194
375,Hormavu,1150.0,2,55.0,2,100
376,AECS Layout,1620.0,3,98.0,3,9
377,Marathahalli,950.0,2,46.96,2,161
378,Harlur,2450.0,3,120.0,3,91
379,Electronic City Phase II,1220.0,2,35.23,3,75
380,other,850.0,2,30.0,2,230
381,Padmanabhanagar,1020.0,2,63.0,2,178
382,Chikkalasandra,1100.0,2,50.0,2,59
383,Hebbal,1760.0,2,130.0,3,92
384,Ambalipura,1800.0,3,110.0,3,12
385,Akshaya Nagar,1070.0,2,54.0,2,11
386,Vidyaranyapura,1440.0,2,95.0,2,219
387,Amruthahalli,900.0,2,40.0,2,14
388,Whitefield,1130.0,2,42.16,2,224
389,Kodigehalli,1270.0,2,98.0,2,140
390,other,1200.0,2,62.0,2,230
391,other,4800.0,4,235.0,4,230
392,other,1200.0,2,74.0,2,230
393,Subramanyapura,929.0,2,50.17,2,205
394,other,1464.0,3,56.0,3,230
395,other,2000.0,4,99.0,4,230
396,Chikkalasandra,1208.0,2,49.0,2,59
397,Hebbal Kempapura,1130.0,2,60.0,2,93
398,other,1753.0,3,120.0,3,230
399,Old Madras Road,4500.0,7,337.0,5,177
400,Hoodi,1196.0,2,94.42,2,97
401,5th Phase JP Nagar,1150.0,3,52.5,2,4
402,Electronic City,1128.0,2,63.0,2,74
403,other,1000.0,2,53.0,2,230
404,Yelahanka,1035.0,2,45.0,2,226
405,Kereguddadahalli,950.0,2,32.0,2,137
406,Bisuvanahalli,1075.0,2,36.0,3,46
407,Whitefield,1040.0,2,48.5,2,224
408,other,720.0,2,45.0,2,230
409,Lingadheeranahalli,1511.0,3,95.0,3,154
410,other,1300.0,3,58.0,3,230
411,Hoodi,1545.0,3,68.75,3,97
412,Shampura,375.0,2,26.0,1,199
413,Vidyaranyapura,1062.0,2,38.0,2,219
414,other,1115.0,2,40.0,2,230
415,JP Nagar,1000.0,2,35.0,2,109
416,Kambipura,883.0,2,45.0,2,123
417,Sarjapur  Road,1195.0,2,70.0,2,194
418,other,700.0,1,41.0,1,230
419,Vittasandra,1246.0,2,67.0,2,223
420,other,1600.0,4,80.0,4,230
421,Haralur Road,2805.0,5,154.0,4,90
422,Begur Road,1584.0,3,65.0,3,39
423,Hosur Road,1175.0,2,48.0,3,104
424,other,1595.0,3,115.0,3,230
425,other,1353.0,2,110.0,2,230
426,Electronic City,1599.0,3,125.0,3,74
427,Whitefield,1150.0,2,70.0,2,224
428,KR Puram,1155.0,2,42.74,2,115
429,other,1200.0,2,85.0,1,230
430,Thanisandra,3000.0,4,120.0,4,209
431,Rajiv Nagar,1867.0,3,160.0,3,186
432,Ramagondanahalli,1251.0,2,47.0,2,187
433,other,1028.0,2,45.5,2,230
434,Arekere,1222.0,2,45.0,2,20
435,Bannerghatta Road,1170.0,2,66.0,3,34
436,other,1385.0,2,48.48,3,230
437,HSR Layout,1372.0,2,68.0,2,89
438,Magadi Road,1282.0,2,49.0,3,155
439,Kanakpura Road,1135.0,2,39.73,2,127
440,Whitefield,1768.0,3,101.0,3,224
441,other,1325.0,2,90.0,3,230
442,Electronic City,1599.0,3,99.0,3,74
443,Whitefield,1500.0,3,61.95,3,224
444,Uttarahalli,1286.0,2,63.0,2,216
445,Kammanahalli,2845.0,5,140.0,5,124
446,other,1600.0,2,50.0,3,230
447,Hennur Road,1915.0,2,63.77,2,96
448,Hebbal,3450.0,5,260.0,3,92
449,Munnekollal,1102.0,2,53.67,2,164
450,Yelahanka,1350.0,2,54.0,2,226
451,Banashankari,1200.0,2,42.0,3,26
452,other,1800.0,1,80.0,2,230
453,Chikkabanavar,950.0,2,40.0,2,58
454,Kanakpura Road,525.0,1,27.25,1,127
455,Attibele,656.0,2,25.0,2,21
456,other,1056.0,2,80.0,2,230
457,Bannerghatta Road,595.0,1,33.32,1,34
458,other,1080.0,2,50.0,2,230
459,7th Phase JP Nagar,2225.0,3,160.0,3,6
460,Electronics City Phase 1,1490.0,3,84.0,3,76
461,Sarjapur  Road,1550.0,3,100.0,3,194
462,other,1600.0,3,86.0,3,230
463,other,1160.0,2,55.0,2,230
464,Whitefield,4144.0,4,315.0,4,224
465,Sarjapur  Road,2100.0,3,125.0,3,194
466,Vittasandra,1404.0,2,69.3,2,223
467,other,1544.0,3,120.0,3,230
468,Banashankari Stage III,1305.0,2,58.7,3,28
469,Marathahalli,1230.0,2,80.0,2,161
470,other,1200.0,2,65.0,2,230
471,Harlur,1460.0,3,73.0,3,91
472,Gottigere,967.0,2,45.0,2,82
473,other,540.0,1,36.0,1,230
474,Hormavu,715.0,1,46.0,1,100
475,Mysore Road,1020.0,2,48.95,2,166
476,Jigani,1020.0,2,40.0,2,113
477,Koramangala,1253.0,2,102.0,2,144
478,other,1180.0,2,42.0,2,230
479,Nehru Nagar,961.0,2,38.0,2,174
480,Kanakapura,1419.0,3,75.0,3,126
481,Harlur,1709.0,3,150.0,3,91
482,other,1600.0,2,115.0,2,230
483,other,416.0,1,18.5,1,230
484,HSR Layout,1430.0,2,65.0,3,89
485,other,1260.0,2,45.0,2,230
486,other,1630.0,3,85.0,3,230
487,Sarjapur  Road,1249.0,3,44.71,3,194
488,Kalena Agrahara,1450.0,2,85.0,3,121
489,Konanakunte,2791.0,3,223.0,3,143
490,other,834.0,1,60.0,1,230
491,other,1125.0,4,70.0,3,230
492,Arekere,2060.0,3,140.0,3,20
493,Gottigere,891.0,2,25.0,2,82
494,Raja Rajeshwari Nagar,1133.0,2,49.07,2,184
495,Bisuvanahalli,1075.0,2,37.0,3,46
496,other,3000.0,5,260.0,4,230
497,Vidyaranyapura,1200.0,2,55.0,2,219
498,Thanisandra,1075.0,2,45.8,2,209
499,Kaggadasapura,1140.0,2,40.0,2,118
500,Raja Rajeshwari Nagar,1090.0,2,42.0,2,184
501,R.T. Nagar,1500.0,4,70.0,4,182
502,Whitefield,4104.0,4,360.0,4,224
503,Whitefield,1790.0,3,100.0,3,224
504,Hebbal,1920.0,3,134.0,3,92
505,HRBR Layout,1374.0,2,95.0,2,88
506,Bannerghatta Road,1445.0,3,95.0,3,34
507,Kanakapura,711.0,1,36.0,1,126
508,Tumkur Road,1500.0,3,95.0,3,214
509,Whitefield,1720.0,3,100.0,3,224
510,other,1400.0,3,60.0,3,230
511,Kundalahalli,1030.0,2,49.0,2,150
512,Mysore Road,1200.0,2,85.0,2,166
513,other,1375.0,3,70.0,3,230
514,Hegde Nagar,1050.0,1,56.0,2,94
515,Jalahalli,2250.0,3,160.0,3,111
516,Bellandur,1000.0,2,50.0,2,40
517,other,469.0,1,25.0,1,230
518,Marathahalli,3800.0,4,250.0,4,161
519,Kambipura,883.0,2,29.0,2,123
520,GM Palaya,1820.0,2,86.0,3,78
521,Singasandra,1440.0,2,65.0,3,201
522,other,3600.0,4,160.0,6,230
523,Mahadevpura,1225.0,2,48.0,2,156
524,Chikkalasandra,875.0,2,52.8,2,59
525,Jalahalli East,750.0,1,40.0,1,112
526,6th Phase JP Nagar,1180.0,2,80.0,2,5
527,Haralur Road,1194.0,2,47.0,2,90
528,Hennur Road,1500.0,2,62.0,3,96
529,other,1160.0,2,52.2,2,230
530,Sarjapur,1128.0,2,60.0,2,193
531,other,1220.0,2,35.23,3,230
532,Sarjapur  Road,1210.0,2,58.0,2,194
533,Kanakpura Road,1100.0,2,58.0,3,127
534,Bommasandra,1200.0,3,46.0,3,48
535,Haralur Road,3385.0,5,260.0,4,90
536,other,1641.0,3,66.0,3,230
537,Horamavu Agara,1200.0,2,45.0,2,98
538,Raja Rajeshwari Nagar,1260.0,2,67.39,2,184
539,Mahadevpura,1720.0,3,78.0,3,156
540,Yelahanka,1692.5,2,48.13,2,226
541,Yelahanka,1210.0,2,45.98,2,226
542,Bisuvanahalli,1075.0,2,45.0,3,46
543,Thanisandra,1702.0,3,130.0,3,209
544,Raja Rajeshwari Nagar,1141.0,2,38.55,2,184
545,other,2072.0,3,108.0,3,230
546,JP Nagar,7720.0,2,375.0,5,109
547,other,1200.0,2,70.0,3,230
548,other,1350.0,3,77.0,3,230
549,other,5591.0,4,445.0,4,230
550,other,1180.0,2,78.34,3,230
551,other,1355.0,2,115.0,2,230
552,other,600.0,1,50.0,1,230
553,Bannerghatta Road,1640.0,2,120.0,3,34
554,other,1200.0,5,100.0,5,230
555,Kodichikkanahalli,1190.0,2,57.0,3,138
556,Marathahalli,1019.0,2,49.85,2,161
557,other,1875.0,3,165.0,3,230
558,Akshaya Nagar,1250.0,3,40.0,3,11
559,Whitefield,1140.0,2,56.0,2,224
560,Lingadheeranahalli,1683.0,3,109.0,3,154
561,Kaggadasapura,1515.0,3,83.3,3,118
562,Hoodi,2118.0,4,111.0,4,97
563,Bannerghatta Road,1380.0,3,58.0,4,34
564,Varthur Road,1083.0,2,61.75,2,218
565,other,2300.0,3,120.0,3,230
566,other,1240.0,2,60.0,2,230
567,other,1750.0,3,120.0,3,230
568,other,1230.0,2,43.48,2,230
569,Abbigere,985.0,2,40.39,2,10
570,Tindlu,1500.0,2,87.0,3,213
571,Electronic City,1125.0,2,32.49,2,74
572,other,950.0,2,44.0,2,230
573,JP Nagar,7800.0,2,548.5,5,109
574,Kothanur,1580.0,3,76.0,3,146
575,Hennur Road,2264.0,3,159.0,3,96
576,Kammasandra,810.0,2,24.5,2,125
577,other,1045.0,2,45.0,2,230
578,Hebbal,1337.0,2,82.0,2,92
579,Begur Road,1500.0,2,54.0,3,39
580,Whitefield,1640.0,4,91.0,3,224
581,other,1570.0,3,62.0,3,230
582,Gubbalala,1470.0,2,82.0,3,84
583,Kengeri,1160.0,2,40.61,2,135
584,7th Phase JP Nagar,1050.0,2,71.0,2,6
585,Bannerghatta Road,1460.0,2,90.0,3,34
586,Hulimavu,1823.0,3,100.0,3,105
587,Electronic City,1094.0,2,42.0,2,74
588,Budigere,1153.0,2,57.0,2,52
589,other,1325.0,3,57.0,3,230
590,other,1200.0,3,85.0,4,230
591,Jakkur,1590.0,2,125.0,3,110
592,other,1202.0,2,48.0,2,230
593,Haralur Road,1202.0,2,53.0,2,90
594,other,1200.0,2,62.5,2,230
595,Panathur,1688.0,3,118.0,3,180
